OBJECTID,NAME_2,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
104,Barron,104,3809,0.264513886773000,0,59,59,11.209503806800001,8.754143390770000,42697.000000000000000,55,7,53,8
105,Barrow,105,593,0.041180555226100,11,61,50,32.035413153500002,13.975421470100001,18997.000000000000000,51,18,11,30
106,Barry,106,5397,0.374791663668000,0,59,59,7.488234204190000,7.082882397950000,40414.000000000000000,55,0,42,7
107,Bartholomew,107,1600,0.111111110222000,0,61,61,15.710625000000000,14.626666985700000,25137.000000000000000,58,7,47,9
108,Barton,108,5692,0.395277774616000,0,62,62,3.210470836260000,7.796649729370000,18274.000000000000000,59,0,49,0
109,Bartow,109,1723,0.119652776821000,0,62,62,19.771329077200001,16.226593100700001,34066.000000000000000,59,7,56,12
110,Bastrop,110,3113,0.216180553826000,0,60,60,7.995181496950000,10.368707520199999,24889.000000000000000,56,0,37,6
111,Bates,111,3257,0.226180553746000,0,56,56,2.641387780170000,5.697769843310000,8603.000000000000000,44,0,30,0
112,Bath,112,3146,0.218472220474000,0,34,34,1.722186904010000,3.936123450500000,5418.000000000000000,29,0,22,0
113,Baxter,113,2181,0.151458332122000,0,61,61,6.051811095830000,9.990347137220001,13199.000000000000000,57,0,29,5
114,Bay,114,4609,0.320069441884000,0,63,63,16.017140377499999,17.708995314799999,73823.000000000000000,61,0,54,9
115,Bayfield,115,6604,0.458611107442000,0,34,34,1.902331920050000,3.937926985270000,12563.000000000000000,30,0,27,0
116,Baylor,116,3288,0.228333331507000,0,45,45,0.482055961071000,3.312538908630000,1585.000000000000000,35,0,14,0
117,Beadle,117,5311,0.368819441494000,0,63,63,2.289587648280000,7.030833110950000,12160.000000000000000,58,0,4,0
118,Bear Lake,118,4239,0.294374997645000,0,44,44,1.059683887710000,3.564917124740000,4492.000000000000000,34,0,23,0
119,Beaufort,119,5234,0.363472219314000,0,62,62,10.747420710700000,13.783453348200000,56252.000000000000000,60,0,61,6
120,Beauregard,120,4121,0.286180553266000,0,60,60,4.885222033490000,7.083012306880000,20132.000000000000000,57,0,27,5
121,Beaver,121,18431,1.279930545320000,0,60,60,3.243882589120000,9.620950036400000,59788.000000000000000,58,0,60,0
122,Beaverhead,122,23750,1.649305542360000,0,54,54,0.243326315789000,2.044399973440000,5779.000000000000000,41,0,17,0
123,Becker,123,6331,0.439652774261000,0,62,62,5.153056389200000,8.699503417750000,32624.000000000000000,59,0,41,0
124,Beckham,124,3379,0.234652775901000,0,62,62,4.741343592780000,10.756525983200000,16021.000000000000000,60,0,57,0
125,Bedford,125,8705,0.604513884053000,0,62,62,7.402067777140000,8.578165533869999,64435.000000000000000,60,0,52,6
126,Bedford City,126,33,0.002291666648330,29,59,30,48.060606060600001,7.992190862600000,1586.000000000000000,19,48,29,48
127,Bee,127,3062,0.212638887188000,0,61,61,4.122468974530000,9.409527845910000,12623.000000000000000,57,0,38,0
128,Belknap,128,1938,0.134583332257000,0,57,57,13.919504644000000,11.095407679799999,26976.000000000000000,54,7,57,9
129,Bell,129,5181,0.359791663788000,0,63,63,13.212121212100000,17.754430949300001,68452.000000000000000,61,0,4,7
130,Belmont,130,2139,0.148541665478000,0,60,60,15.986442262700001,12.571341192000000,34195.000000000000000,57,9,55,11
131,Beltrami,131,13761,0.955624992355000,0,61,61,2.188867088150000,6.742893911430000,30121.000000000000000,58,0,36,0
132,Ben Hill,132,901,0.062569443943900,0,61,61,6.823529411760000,12.546956915199999,6148.000000000000000,55,0,26,0
133,Benewah,133,3478,0.241527775846000,0,42,42,1.461759631970000,4.235600849650000,5084.000000000000000,35,0,4,0
134,Bennett,134,4931,0.342430552816000,0,42,42,0.403163658487000,2.684011209470000,1988.000000000000000,33,0,19,0
135,Bennington,135,2811,0.195208331772000,0,52,52,5.151903237280000,6.971460276300000,14482.000000000000000,46,0,37,5
136,Benson,136,6471,0.449374996405000,0,37,37,1.887188997060000,4.143978992050000,12212.000000000000000,33,0,31,0
137,Bent,137,5855,0.406597218969000,0,49,49,0.432450896670000,2.775057698740000,2532.000000000000000,35,0,15,0
138,Benton,138,25970,1.803472207790000,0,63,63,8.151097420099999,12.188838095300000,211684.000000000000000,61,0,52,6
139,Benzie,139,1469,0.102013888073000,0,34,34,6.232130701160000,5.657085500390000,9155.000000000000000,31,0,30,6
140,Bergen,140,989,0.068680555006100,18,63,45,61.515672396399999,5.757573556960000,60839.000000000000000,35,63,18,63
141,Berkeley,141,5725,0.397569441264000,0,63,63,15.646113537100000,17.535456413199999,89574.000000000000000,61,0,4,8
142,Berks,142,3427,0.237986109207000,6,63,57,26.667055733900000,15.866133810699999,91388.000000000000000,58,12,50,22
143,Berkshire,143,3882,0.269583331177000,0,60,60,11.573930963400000,11.227579775200001,44930.000000000000000,58,6,4,7
144,Bernalillo,144,4341,0.301458330922000,0,63,63,17.499193734199999,22.207152548700002,75964.000000000000000,61,0,47,6
