OID_,NAME_2,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
,Bolivar,167,37621,2351312500.000000000000000,0.000000000000000,393.137481689000026,393.137481689000026,0.820677446666000,7.663577081270000,30874.706221000000369
,Bollinger,168,25643,1602687500.000000000000000,0.000000000000000,118.502784728999998,118.502784728999998,0.481941804415000,3.550501384640000,12358.433690600000773
,Bon Homme,169,24122,1507625000.000000000000000,0.000000000000000,1220.354858400000012,1220.354858400000012,0.286037610128000,8.210374477609999,6899.799231510000027
,Bond,170,15812,988250000.000000000000000,0.000000000000000,443.942443847999982,443.942443847999982,1.103253718850000,8.372682933749999,17444.647802399998909
,Bonner,171,79951,4996937500.000000000000000,0.000000000000000,345.919494628999985,345.919494628999985,0.536012144155000,4.678826060550000,42854.706937299997662
,Bonneville,172,78748,4921750000.000000000000000,0.000000000000000,569.888671875000000,569.888671875000000,1.473318027770000,13.556343422799999,116020.848050999993575
,Boone,173,167132,10445750000.000000000000000,0.000000000000000,1487.447875979999935,1487.447875979999935,3.180062570120000,18.194500287499999,531490.217469000024721
,Borden,174,37410,2338125000.000000000000000,0.000000000000000,36.066913604699998,36.066913604699998,0.015940733616800,0.365649305756000,596.342844603999993
,Bosque,175,41657,2603562500.000000000000000,0.000000000000000,201.102294921999999,201.102294921999999,0.443074165382000,3.797285565930000,18457.140507299998717
,Bossier,176,35910,2244375000.000000000000000,0.000000000000000,690.656860351999967,690.656860351999967,3.468675805560000,18.250426490900001,124560.148178000003099
,Botetourt,177,22722,1420125000.000000000000000,0.000000000000000,175.876907348999993,175.876907348999993,1.491519704440000,6.852306525470000,33890.310724299997673
,Bottineau,178,70648,4415500000.000000000000000,0.000000000000000,122.505332946999999,122.505332946999999,0.085901937060800,1.562687211120000,6068.800049469999976
,Boulder,179,30824,1926500000.000000000000000,0.000000000000000,1240.814575200000036,1240.814575200000036,9.889306362159999,41.899403002699998,304827.979307000001427
,Boundary,180,52876,3304750000.000000000000000,0.000000000000000,135.612609862999989,135.612609862999989,0.215778772135000,2.632463409810000,11409.518355399999564
,Bourbon,181,38641,2415062500.000000000000000,0.000000000000000,273.565032959000007,273.565032959000007,0.907857305679000,6.950481206100000,35080.514148700000078
,Bowie,182,38219,2388687500.000000000000000,0.000000000000000,658.928405762000011,658.928405762000011,2.416531326980000,13.505367070700000,92357.410785700005363
,Bowman,183,48516,3032250000.000000000000000,0.000000000000000,121.049530028999996,121.049530028999996,0.063386280501000,1.587637426700000,3075.248784790000173
,Box Butte,184,44625,2789062500.000000000000000,0.000000000000000,160.289611815999990,160.289611815999990,0.241908266324000,4.228624700450000,10795.156384699999762
,Box Elder,185,279129,17445562500.000000000000000,0.000000000000000,403.474914550999983,403.474914550999983,0.191697465800000,3.912856720750000,53508.321931400001631
,Boyd,186,29302,1831375000.000000000000000,0.000000000000000,660.364501952999944,660.364501952999944,1.736086369590000,11.736167597000000,50870.802801700003329
,Boyle,187,7575,473437500.000000000000000,0.000000000000000,434.642089843999997,434.642089843999997,3.763269484430000,17.183108298299999,28506.766344499999832
,Bracken,188,8696,543500000.000000000000000,0.000000000000000,129.322601318000011,129.322601318000011,0.976982573615000,5.315785813970000,8495.840460150000581
,Bradford,189,60427,3776687500.000000000000000,0.000000000000000,757.711364745999958,757.711364745999958,1.512776556070000,9.769804330250000,91412.548953899997286
,Bradley,190,40888,2555500000.000000000000000,0.000000000000000,517.236022949000017,517.236022949000017,2.801656558550000,13.221394716400001,114554.133365999994567
,Branch,191,21423,1338937500.000000000000000,0.000000000000000,1163.233276370000112,1163.233276370000112,2.072088016940000,12.633155909399999,44390.341586800001096
,Brantley,192,18577,1161062500.000000000000000,0.000000000000000,322.191558837999992,322.191558837999992,1.096726351580000,6.958396496850000,20373.885433399998874
,Braxton,193,21440,1340000000.000000000000000,0.000000000000000,260.766601562999995,260.766601562999995,0.668091950166000,4.433447563280000,14323.891411599999628
